masked,original
늬늬,늬예늬예
"네가 남배우 열애설이 났는데, 얼굴어?","네가 좋아하는 남배우 열애설이 났는데, 상대방 얼굴 봤어?"
,변호사는 말도 잘해
##하기전에 천만다행.,결혼하기전에 알게되서 천만다행.
저친 완전 많아,저 남자 주위에 여사친 완전 많아
"대통령은 돈 갖고 튀고, 딸은 뉴욕에서 호화생활","아프간 대통령은 돈 갖고 튀고, 딸은 뉴욕에서 호화생활한대."
방금 쫌했냐? ㅋㅋ,미안 방금 내가 쫌 찌질했냐?ㅋㅋ
오토바이 소리 시끄럽다 사람이 죽었으면 좋겠다고 말하는 건 않냐?,오토바이 소리 시끄럽다고 사람이 죽었으면 좋겠다고 말하는 건 좀 아니지 않냐?
오토바이 소리 때문에 받아서 죽을 수도,오토바이 소리 때문에 스트레스 받아서 내가 죽을 수도 있어
옷이나 춤 보면 생각이 수가 없지 않음?,옷이나 춤 보면 그런 생각이 안 들 수가 없지 않음?
,뭐가 이상한데?
태국 가면 트젠쇼,태국 가면 트젠쇼 꼭 보고 와
나 머리 펌 할까 말까? 게 같아?,나 머리 펌 할까 말까? 어떤 게 좋을 거 같아?
"너 하고 해, 아무거나 괜찮을 듯?","그냥 너 하고 싶은 대로 해, 아무거나 괜찮을 듯?"
##보다는 장례식주는 친구가 낫지.,결혼식보다는 장례식에 와주는 친구가 낫지.
그딴 네 현재 인간 보다 건설적으로 형성하는 게 낫지 않을까?,그딴 생각할 시간에 네 현재 인간관계를 보다 건설적으로 형성하는 게 낫지 않을까?
진짜 그정도면 건강도 안 거,진짜 그정도면 건강도 엄청 안 좋을 거 같은데
ㅋㅋ 알몸 지하철역 뜀?,ㅋㅋ무슨 알몸으로 지하철역을 뜀?
##시장이 이정도 수준,캐릭터 소비시장이 이정도 수준인가
##들 다리 사이에 손 넣는 춤 추지,아이돌들 왜 자꾸 다리 사이에 손 넣는 춤 추지
##에 더러워.,가방에 먼지 너무 더러워.
초등학생 옷 입고 다니는 거 보면 나보다 잘 듯,요즘 초등학생들 옷 입고 다니는 거 보면 나보다 잘 입는 듯
##지 않음? 난 너무게 느껴지던데 … ㅋ,뭔가 귀엽지 않음? 난 너무 귀엽게 느껴지던데…ㅋ
일본인들은 조선 취급,일본인들은 아직도 한국을 조선 취급하더라
여자가 여자를다니?,여자가 여자를 좋아하다니 말이되?
그게 저 사람들은 원래 그렇게 태어난거래 그래서 이해,글쎄 그게 저 사람들은 원래 그렇게 태어난거래 그래서 이해해줘야한데
##도 분명히 있을 거 같긴 함,좀 억울한 부분도 분명히 있을 거 같긴 함
걱정두 팔자유노사모 다라우,걱정두  팔자유   일반노사모는  다  이재명이라우
##치지,펑치지 마세요~
,티비 다른거 보자
내 포좀 해주라,내 사진도 포샵좀 해주라
,그게 뭐임?
시간이 남아 돌아서 서는 줄,우리는 시간이 남아 돌아서 줄 서는 줄 아나
,어떻게 알았는데?
여기 되게 코어 탄탄하고돌싸컷도 높은 데 아님?,여기 되게 코어 탄탄하고 여돌 치고 팬싸컷도 높은 데 아님?
ㅇㅈ 비교하는 거 자체가 올려치긴데 뭔. 걔네랑 비교하는 것부터화 안 돼 보임ㅋ,ㅇㅈ 비교하는 거 자체가 올려치긴데 뭔.. 걔네랑 비교하는 것부터 객관화 안 돼 보임 ㅋㅋㅋ
장 팔았더만 이게 코어 탄탄한 거냐? ㅋㅋㅋㅋ 같은 해에 데뷔한 타 여돌은 하루에 만 넘게 팔 듯 …,앨범 만 장 팔았더만 이게 코어 탄탄한 거냐? ㅋㅋㅋㅋ 같은 해에 데뷔한 타 여돌은 하루에 만 장 넘게 팔 듯 …
[UNK]친 터지 진짜 너무 화가난다.,[UNK]전여친 사건 터지니까 진짜 너무 화가난다.
##도 아닌데 뭐하러 그런걸 챙겨,우리나라 명절도 아닌데 뭐하러 그런걸 챙겨?
##때 또 한 하겠네,추석때 또 어른들 한소리 하겠네
돈 없다고 하니까 왜 돈고 화내고 째려대,돈 없다고 하니까 왜 돈 없냐고 화내고 째려보다가 갔대
다 사라져야,보신탕 집은 다 사라져야해
##시,지금 몇시야
##을 수도,아 늦을 수도 있지
##에들 무법자야,도로에 오토바이들 너무 무법자야
남이야 벗든 네가야?,남이야 벗든 말든 네가 무슨 상관이야?
##고 싶다.,남자친구 사귀고 싶다.
##신 분이라 키오스크 주문하면걸릴 수 밖에 없지,나이 드신 분이라 키오스크 주문하면 오래걸릴 수 밖에 없지
그때 [UNK]어야했는데,그때 [UNK]이 됐어야했는데…
얼굴 좀 봐. 씻고 다녀.,얼굴의 얼룩 좀 봐. 잘 씻고 다녀.
전여자 붙잡고싶은데 무슨방법없을까.. 내가바람서긴했어,전여자친구 붙잡고싶은데 무슨방법없을까..내가바람펴서 헤어지긴했어
남친거 보고 정졌는데뜩하면 좋냐,남친 일하는거 보고 정떨어졌는데 어뜩하면 좋냐
진짜 검사라판이야,진짜 검사해보라해야할판이야
일본만 해도 C 될...,일본만 해도 평균 C정도 될 텐데...
졸 안,졸린데 잠이 안 와
,무엇을 먹게?
아 배아파 요새 변빈지 똥이와치겠어,아 배아파 요새 변빈지 똥이 안나와 ㅠㅠ미치겠어
아니.. 그런 뜻이 아니잖아 그냥 배아프겠다냐 이렇게 안되니?,아니.. 그런 뜻이 아니잖아 그냥 배아프겠다 괜찮냐 이렇게 말해주면 안되니?
##이냐??,이게 왜 호들갑이냐??
다다니고 좋 ~ 겠네ㅎㅎ,다 같이 서울 구경다니고 좋~겠네ㅎㅎ
##이돼 가는데 정년도 65세로해야 하는 거 아냐?,수명이 연장돼 가는데 정년도 65세로 연장해야 하는 거 아냐?
##러가이니 당연히 신분 사회지,강남러가 귀족이니 당연히 신분 사회지.
##도 다 잘 거 아냐,강남도 다 잘 사는 거 아냐.
##지...,떨어졌지 뭐...ㅠ
##이면 끝날테니깐 좀만자,오늘이면 이사 끝날테니깐 좀만 참자
아니 그냥 투기꾼들때문에 오른 건데 [UNK],아니 그냥 투기꾼들때문에 오른 건데 왜 [UNK] 욕을 해
지거지 지잡대는.,지거국이지 지잡대는 아니라고 생각한다.
##스는데 타는 냄새 나네,아 인센스 피우는데 타는 냄새 나네
"여자, 엄청 크다","저 여자, 키 엄청 크다."
오늘도 일본도로 죽인 봤나,오늘도 일본도로 아내 죽인 남자 봤나?
10 어리,10살 어리잖아ㅋㅋ
남의에 거름 줘봤자 따먹는 건 주인이,남의 과수원에 거름 줘봤자 과일 따먹는 건 주인이에요
[UNK]다가 벼락거지 됐,[UNK] 믿다가 벼락거지 됐어.
니가 벼락거지,니가 무슨 벼락거지냐
개념 없는,개념 없는 사람들 진짜 많다
네고왕에서 아딸이 감탄 상호,네고왕에서 아딸이 감탄으로 상호 변경했다는데
ㄴㄴ 그거 아딸 대표 전남편이하고한 다음에 만든 거임,ㄴㄴ 그거 아딸 대표 전남편이 횡령하고 이혼한 다음에 따로 만든 거임
##에 집에 돈 외노자 많던 적 신경 안 쓸껄?,당장에 집에 돈 많으면 외노자 많던 적던 신경 안 쓸껄?
넌 가슴 없는 여자 수,넌 가슴 없는 여자 만날 수 있어?
##차인 그룹 이제 고작차인 그룹을 더 밀어주다니,7년차인 그룹보다 이제 고작 2년차인 그룹을 더 밀어주다니
,역시 …
김밥 아줌마 가방,김밥집 아줌마 가방 명품이던데
동안 살이서 교복이 안,방학 동안 살이 쪄서 교복이 안 맞아
##하게 생겼네,그래도 예쁘장하게 생겼네
반대하는 애들은 집에서 발자국도 나오지 마,반대하는 애들은 집에서 한 발자국도 나오지 마
나 오늘하려구 드디어!망의 날이야,나 오늘 고백하려구 드디어! 후 대망의 날이야
말 많이 하는 비호감,말 너무 많이 하는 거 비호감이야
누군데,그게 누군데?
외국 선수 중에 너랑 똑같이 생긴 ~,외국 축구 선수 중에 너랑 똑같이 생긴 사람 있어~
다들 왜 가슴만 보는거야? 여기 묻었어?,다들 왜 내 가슴만 보는거야? 나 여기 뭐 묻었어?
졸 걸느라 얼마나되던지,졸린 걸 참느라 얼마나 고생되던지
조미료도 GMO 식품도 그성이 과학적으로 제대로 증명된.,조미료도 GMO 식품도 그 위험성이 과학적으로 제대로 증명된 것은 없어.
안보에 아예 신경도 여자들은 뭔 생각인지 모르겠더라,안보에 아예 신경도 안 쓰는 여자들은 뭔 생각인지 모르겠더라.
너 놓고 몇 번 연애,너 그래 놓고 몇 번째 연애니
##할 때는 성소수자를 못 했잖아.,코로나가 심각할 때는 성소수자 축제를 못 했잖아.
아무래도 코로나되면 그는 성대 진행될 것 같아.,아무래도 코로나 진정되면 그 축제는 성대하게 진행될 것 같아.
##더니 이상한 싸구려을는거야,그랬더니 이상한 싸구려 아이스크림을 사오는거야
와이프가 먹고 싶다 어떻게 싸구려을 사수가 있어?,와이프가 먹고 싶다는데 어떻게 싸구려 아이스크림을 사올수가 있어?
##이라도 싶다,국내 여행이라도 가고 싶다
##로 싶다,과거로 돌아가고 싶다
창피한 흑 다,창피한 흑역사 다 지우고 싶어
##하고까,안그래도 후회하고 있다니까
아직도 남편을 감싸주는 걸 보니 콩지가 씌 같군,아직도 남편을 감싸주는 걸 보니 콩깍지가 씌인 것 같군
어 걔가고 몸매가 하지,어 걔가 예쁘고 몸매가 좋기는 하지
유럽사람들은를 많이 먹어서 몸이 그렇게 뚱뚱한거,유럽사람들은 밀가루를 많이 먹어서 몸이 그렇게 뚱뚱한거래.
맞아도 걸리고 죽는다고 맞기 싫다,백신 맞아도 걸리고 죽는다고 하니까 맞기 싫다.
##에진다 싶으면이 생기는 듯,유행에 뒤쳐진다 싶으면 강박이 생기는 듯
데 가기 전에 내려와,딴 데 가기 전에 얼른 내려와.
먹듯이 어기 애들을 어떻게 하면 좋지,약속을 밥 먹듯이 어기는 애들을 어떻게 하면 좋지
그러니까 벼락 하면나,그러니까 벼락치기 하면 되려나?
야 정신차려 너 애 칠,야 정신차려 너 애 칠뻔했어
이번에 제대하자마자 칼학한랑플함.,이번에 제대하자마자 칼복학한 사람이랑 팀플함.
복학생이랑하는 느낌이?,복학생이랑 팀플하는 느낌이 어때?
해외 아동 정기 시작,어제 해외 아동 정기 후원 시작했어
한 번 해보고 그런 하는 너 보단 나아,기부 한 번 안 해보고 그런 말 하는 너 보단 나아
,서로서로 그만하자
왜? 갑자기? 너 룸랑,왜? 갑자기? 너 룸메랑 같이 있잖아
##메가 내 속옷 훔쳐서 [UNK] 에,룸메가 내 속옷 훔쳐서 [UNK]에 팔고 있었어
너는 어떻게 게 종일만 하냐?,너는 어떻게 된 게 하루 종일 게임만 하냐?
게어 ~,나는 노는 게 재밌어~
저은나 해라,저 연예인은 1억씩 기부나 해라
엄마 아빠 진짜서겠어,엄마 아빠 때문에 진짜 짜증나서 미치겠어
같이 남배우랑 맨날,같이 찍는 남배우랑 맨날 사귀네
", 너무생겨서 체포당하는 거 아냐?","와, 나 너무 잘생겨서 체포당하는 거 아냐?"
감자탕에서 고기 덜는 행동은 성관계를 암묵적으로 동의한.,감자탕에서 고기 덜어주는 행동은 성관계를 암묵적으로 동의한 행동이래.
니가 감자 같이 여자가 말이지.,니가 감자탕 같이 갈 여자가 있다면 말이지.
,뭐가 다르다고?
##견들,식용견들 너무 불쌍해
##이 불결대,모텔이 불결하대
국회의원 아들이면 때리고 범죄 저지르고 되는거야,국회의원 아들이면 사람 때리고 범죄 저지르고 그래도 되는거야?
우울증에 성별이나 걸리고 자신도 걸린걸 모를있음,우울증에 성별이 어딨나 남녀노소 걸리고 자신도 걸린걸 모를수도있음
##살 임용된 자살대,20살 임용된 공무원 자살했대
##족 소리 시끄럽긴 나도,밤에 폭주족 소리 시끄럽긴 하더라 나도
##녀는 미혼남 만나면 안되는 법이라도,이혼녀는 미혼남 만나면 안되는 법이라도 있냐?
너 돌녀에이 너무 심하다,너 돌싱녀에 대한 편견이 너무 심하다
다들 바보라서 법을 안는 알지?,사람들이 다들 바보라서 법을 안 어기는 줄 알지?
"##이 문제야, 씻고 다녀","청결이 문제야, 잘 씻고 다녀."
휴 우리나라 소지라이네,휴 우리나라 총기 소지 불법이라 다행이네
정신병임?,왜 정신병임?
페미,쟤 페미야?
섹?,섹드립 좋아하지 않아?
##가 어두컴컴하니까 땡긴다,하 날씨가 어두컴컴하니까 노래방 땡긴다
##들은 과시욕이 왤케 많아,쟤네들은 과시욕이 왤케 많아
"돈이면 부모님도고, 자기관리도 할 수 있을텐데...","그 돈이면 부모님 용돈도 드리고, 자기관리도 할 수 있을텐데..."
니가 좋아하는 아이돌 먹으면 좋겠냐?,너는 니가 좋아하는 아이돌 문화가 욕 먹으면 좋겠냐?
##하는 여자 만날,악기하는 여자 만날래
와 인간이 결혼까지 했다니 말도,와 저런 인간이 결혼까지 했다니 말도 안된다
더질 수도 있겠다,앞으로 더 심해질 수도 있겠다
보는 내가 너 다 간,보는 내가 너 다칠까봐 간 떨린다
뭐가 안전해 너 차랑 사고나서 죽을 했으면,뭐가 안전해 너 저번에 차랑 사고나서 죽을 뻔 했으면서
고졸 특가 거임?,왜 고졸 특채가 있는 거임?
먹었는지 벌건 얼굴로 마스크 내리고 소리로 통화,술 먹었는지 벌건 얼굴로 마스크 내리고 큰 소리로 통화하더라
수박자,수박좀 먹자
##펠도 보고도 먹고 ~,에펠탑도 보고 빵도 먹고~
저렇게 남자가 여자한테을,저렇게 남자가 여자한테 용돈을 준다고?
맞아도 넘치는 친구야,맞아 성실하고 열정도 넘치는 친구야
빼면 진짜생겼겠는데,살 빼면 진짜 잘생겼겠는데?
빼이지,빼기만 하면 대박이지
##지,빨리 몸 키워야지
니가 끝까지놓고 왜 드라마에 성질을,니가 끝까지 봐놓고 왜 드라마에 성질을 내냐?
또 전남친며,또 전남친 연락왔다며?
노인폭행대,이번에 노인폭행 사건이 일어났대
##지로 니가 외국에서다고,역지사지로 니가 외국에서 일한다고 생각해봐
가방에 키링 다는 유치,가방에 키링 다는 거 유치해?
,그만 이야기 해라
대체 넌 몇 번 하는데?,대체 넌 했던말 몇 번이나 하는데?
엄마 떨어졌,엄마 반찬 떨어졌어~
##이랑 동태 만들어죠,반찬이랑 동태찌개도 만들어죠
못하니까 엄마한테 해달라고하지,내가 못하니까 엄마한테 해달라고하지!!
손톱 물어 뜯 고치고싶어. 세 살 버릇 여든까지 간다더니 안고쳐지네,손톱 물어 뜯는 버릇 고치고싶어.. 세 살 버릇 여든까지 간다더니 안고쳐지네
그래 손톱 물어 뜯는건 할 것 같아 못생겨지잖아 ㅜ,그래 손톱 물어 뜯는건 진짜 고쳐야 할 것 같아 손이 못생겨지잖아 ㅜ
##이 두둑하니까 문제 없을 줄 알았는데 ㅋㅋㅋ,체지방이 두둑하니까 겨울은 문제 없을 줄 알았는데 ㅋㅋㅋ
먹었다고 어른은 아니지,나이를 먹었다고 모두 어른은 아니지
넌 언제 가냐,야 넌 군대 언제 가냐?
나 아마 초 갈,나 아마 내년 초에 갈 듯
쟤 아빠 [UNK],야 쟤 아빠 차 [UNK]이다
,아닌데 ㅋㅋㅋㅋ
어린 여자랑고 싶어,어린 여자랑 사귀고 싶어
걔이야이야,걔는 서양인이야 동양인이야
싫다구요. 전 없는 사람이랑 성관계,싫다구요. 전 마음 없는 사람이랑 성관계 안합니다.
근데 교수님도 안하데 니가 왜함?,근데 교수님도 뭐라 안하시는데 니가 왜 뭐라함 ?
야한 거 아니니?,그 옷 너무 야한 거 아니니?
검찰에 투 들어와서 수 없이 일주일 [UNK] 하고 결혼했잖아,검찰에 투서 들어와서 어쩔 수 없이 일주일만에 [UNK]하고 결혼했잖아
코로나로 유럽에서이졌,코로나로 유럽에서 인종차별이 많아졌대
##들이랑는 어때?,회사 동료들이랑 사이는 어때?
##이지냐,그게 매력이지않냐
너무 묵고 다니는 아이가,술을 너무많이 묵고 다니는거 아이가
##주에 룸싸롱 한번더만 모자라,저번주에 룸싸롱 한번갓더만 모자라네
저 정도면 보 넣은 아니야?,저 정도면 보형물 넣은 거 아니야?
보형물이고 뭐고 저런게 진짜 s,보형물이고 뭐고 저런게 진짜 s라인이다.
그런 역겨운 소리는 누가 거냐,그런 역겨운 소리는 도대체 누가 하는 거냐?
[UNK] 팔 1다 ~,나 [UNK] 팔로워 1K다~
,부러우면 부럽다그래
그런 구다리 사고는 언제적,그런 구닥다리 사고는 언제적 거예요?
여자 의사는 여의사라 하면서 남자 남의 아니냐?,왜 여자 의사는 여의사라 하면서 남자 의사는 남의사가 아니냐?
어차피 한국은 저출산명이나 와 주면 좋지,어차피 한국은 저출산인데 400명이나 와 주면 좋지
##도 잘치는 얘가 그만두게?,공도 잘치는 얘가 왜 그만두게?
##만 생기겠지,애꿎은 노인들만 부작용이 생기겠지
쟤가 거?,저거 쟤가 잘못한 거 아니야?
너랑 둘중 하나 사라진대도,너랑 나 둘중에 하나 사라진대도?
##들이 [UNK] 보고 너무 외국 건축물 같다고 깠,우리나라 건축가들이 [UNK]보고 너무 외국 건축물 같다고 깠대
남자는 못생기면 더서 매력 것 같아,남자는 못생기면 오히려 더 웃겨서 매력적인 것 같아
쟤가 군대에서 술 마시는데 그걸로 했다구라잖아 ㅋㅋ,아니 쟤가 군대에서 술 마시는데 그걸로 뭐라 했다구 부조리라잖아 ㅋㅋ
군대가 편해진거지 사회랑 짓을 해도 된다는 ㅋㅋㅋ,군대가 편해진거지 사회랑 똑같은 짓을 해도 된다는 건 아니잖아 ㅋㅋㅋ
뭐빼기 전에는 사람니?,내가 뭐 살빼기 전에는 사람 아니였니?
야 5조5랑이 남혐하는래 알았음?,야 5조5억이랑 웅앵웅이 남혐하는 단어래 알았음?
아니 그게 왜 혐오하는야...? 진짜 쓸 없네,아니 그게 왜 혐오하는 단어야...? 진짜 뭐 쓸 말이 없네
어차피 사람 다 거기서 거기인거 그냥 살면되지 혐오함,어차피 사람 다 거기서 거기인거 그냥 살면되지 왜 서로 혐오함?
##ㅋ ㅇㅈ 이럴 국민 아니냐? 돈도 많이 받으니 니네가 해야 될 듯,ㅋㅋㅋ ㅇㅈ 이럴 때는 국민 대표 아니냐? 돈도 많이 받으니 니네가 해야 될 듯
성추행 여군 [UNK] 안장은 아니냐?,성추행 피해 여군 [UNK] 안장은 오바 아니냐?
[UNK] 을 거지,무슨 근거로 [UNK]을 가는 거지
솔직히 트럭기사가 더할 것,솔직히 트럭기사가 더 억울할 것 같음.
,그러게나 말이다
,시간이 아깝다.
속옷 속옷 들고 찍었어ㅋㅋㅋ,속옷 모델인데 속옷을 들고 찍었어ㅋㅋㅋ
,아 정말 힘들다
##서 거겠지.,더워서 땀 흘린 거겠지.
살인? 어제 했잖아.,살인 사건 기사? 어제 떠들썩 했잖아.
##했을 때 함셈,아재 출근했을 때 함 노려보셈
너 이거어? 오빠들한테 사생팬 붙었,너 이거 봤어? 우리 오빠들한테 사생팬 붙었대
원래 빈레가 더하다,원래 빈수레가 더 요란하다잖아
##신 1시간 탔다,오늘 러닝머신 1시간 탔다
애인 짓은 좀 좋겠네,애인이 싫어하는 짓은 좀 안했으면 좋겠네
##같이 애들이 뭘 알겠냐,요즘같이 캠프 다녀온 애들이 뭘 알겠냐
,나 걔 좋아해
저 남자 길거리에서 폭행 도와줬,저 남자 길거리에서 폭행 피해 여성을 도와줬대
인간 못하다,그건 너무 인간적이지 못하다
좀 더 팔 수 있었을 것,좀 더 비싸게 팔 수 있었을 것 같은데
중고 하는데 가격만 받으면 거지,중고거래 하는데 적당한 가격만 받으면 된 거지
사람란 게 없네,그래도 사람 욕심이란 게 끝이 없네
무례한 마 너보다 나이가 얼마나 많으신데 함부로,그런 무례한 말하지 마 너보다 나이가 얼마나 많으신데 함부로 그러니
##지,[UNK]정도면 괜찮지
같은게 학교 이미지 떨구는듯 ㅋㅋㅋ,그냥 광고 같은게 오히려 학교 이미지 떨구는듯 ㅋㅋㅋ
,어제 드라마 봤냐
너는라도잖아,야 너는 상사라도 좋잖아
10 나는한테 사랑이 느껴지냐?,10살 차이 나는 동생한테 사랑이 느껴지냐?
##는 최장한테 넘기세요,이번 프로젝트는 최과장한테 넘기세요
그 회사 사람들이랑 먹 맛없게 느껴져서 싫어함,그 맛있는 걸 회사 사람들이랑 먹으니 맛없게 느껴져서 싫어함
ㅇㅈ랑 돈 주고 가는 게 낫지,ㅇㅈ 차라리 친구랑 내 돈 주고 가는 게 낫지
##탕 싶다,마라탕 먹고 싶다
[UNK] 딸 [UNK] 너무지? 같아,[UNK] 딸 [UNK] 너무 예쁘지 않아? 어른 같아
맞어 다리도 엄청 중학생 아닌거,맞어 ㅠ 다리도 엄청 길고 중학생 아닌거 같아
동남아?,갑자기 동남아는 왜?
자살한 여군 사진 공개,이번에 자살한 여군 사진 공개됐더라
손으로하니,요새 누가 손으로 설거지하니
손거지가,난 손설거지가 좋아
하며 난도 되고 좋,설거지 하며 난 힐링도 되고 좋더라
[UNK] 이 [UNK] 때문에 스트레스 것,[UNK]이 [UNK]때문에 스트레스 받는 것 같더라
,나중에 결과가 궁금하다
지하철 살인 난동대,일본에서 지하철 살인 난동 사건 일어났대
[UNK] 런닝에서 애교은 이길 수 없지 ㄹㅇ ㅋㅋㅋ,[UNK] 런닝맨에서 레전드 애교 짤은 이길 수 없지 ㄹㅇ ㅋㅋㅋ
##지 됐지,안 잔지 오래 됐지
##성은 전혀 없는 감언이설의이야,현실성은 전혀 없는 감언이설의 선거공약이야
어차피 사람은데 명예 죽어야,어차피 사람은 죽는데 명예롭게 죽어야지
##다고 음식는 물에 발을 담근?,덥다고 음식 씻는 물에 발을 담근다고?
웅신이라 어릴 때부터 쭉 다니고 있어.,웅 나 모태신앙이라 어릴 때부터 쭉 다니고 있어.
내 위상. 심지어 여주인공이 직접 차,미국 내 현대차 위상. 심지어 여주인공이 직접 모는 차
야 혹시 너 장기 줄거 있니?,야 혹시 너 장기자랑할 줄아는거 있니?
,없어 왜?
부끄러워서 해외도 다니기,부끄러워서 해외 출장도 다니기 힘드네요
##들 담배 뚫리는았는데 ㄱㄱ?,형들 담배 뚫리는 편의점 찾았는데 ㄱㄱ?
가부장제를 재확인하는인,가부장제를 재확인하는 게 제사인 듯
하면 과제랑 시험공부를 미리미리 하지? 너무 게으른가봐 짜증나,어떻게 하면 과제랑 시험공부를 미리미리 하지? 나는 너무 게으른가봐 짜증나 ㅜㅜ
너 되게 과제 시험 공부 몰아쳐서 하는 경향이 있더라 나쁜이잖아 고쳐봐,그래 너 되게 과제 시험 공부 몰아쳐서 하는 경향이 있더라 그거 나쁜 습관이잖아 고쳐봐
아냐 나 너 나쁘게 생각한 적 없어 진짜 그냥 진심 어린였어 기분 나쁘게,아냐 나 너 나쁘게 생각한 적 없어 진짜 그냥 진심 어린 충고였어 기분 나쁘게 했다면 미안해
##했던 사람이 대우해주는 거겠지,그래도 대통령했던 사람이니까 대우해주는 거겠지
[UNK] 은하고 사람인 줄,[UNK]은 무난하고 합리적인 사람인 줄 알았다
자식 말을 가장 꼴찌로 듣는 부모님 모시고을 가라고,자식 말을 가장 꼴찌로 듣는데 부모님 모시고 병원을 가라고?
우리나라 입시강사들만큼 돈 강사는,우리나라 입시강사들만큼 돈 많이 버는 강사는 없을거다
사실했을 때의,그것도 사실 성공했을 때의 얘기지
못 돈 겁나 못 버는게,못 뜨면 돈 겁나 못 버는게 현실이야
그리고 꼬리해지지,그리고 꼬리 확 내리고 겸손해지지
깊은 들어갔을 느낌이 너무 좋아.,깊은 수면에 들어갔을 때 느낌이 너무 좋아.
##도 없고도 없으니까,재미도 없고 감동도 없으니까 그만해
다음주에 비키니 좀 사러 가자,다음주에 수영장 가는데 비키니 좀 사러 가자.
##는 소아 성범죄자에게 징역 1050년형과 태형 210대를대.,말레이시아는 소아 성범죄자에게 징역 1050년형과 태형 210대를 선고했대.
야 니 진짜이네지노,야 니 진짜 오랜만이네 어찌지내노
이야 여기서 니를 만나네 나 싶,이야 여기서 니를 만나네 나 아는척하고 싶더나
떼문고 사정이 안좋았어,떼문거는아이고 사정이좀 안좋았어
##할때보는거 세상 시간 ㅋㅋ,데이트할때 영화보는거 세상 시간 아까워 ㅋㅋ
##함에 쓰레기를 버리 되시죠,기부함에 쓰레기를 버리시면 안 되시죠
좌빨은 좌파를 비난하는,좌빨은 좌파를 비난하는 단어 아냐?
되지,맞벌이 부부하면 되지
남자 싸,저 남자 느낌이 싸해
왜? 그거 [UNK] 작가이라던데. 별로야,왜? 그거 [UNK] 작가 작품이라던데..별로야?
##야했는데 그정돈 봐줘...,야야 2년 고생했는데 그정돈 봐줘...
##라도 때 잘 받아먹지,찌끄러기라도 줄 때 잘 받아먹지
##수도 있지 꼬가지고,좀 버릴수도 있지 꼬여가지고
"여자들이 경우는 없는데, 넌 좀 특이하다.","여자들이 게임 좋아하는 경우는 거의 없는데, 넌 좀 특이하다."
너를 얻다 쓰는거,너 생활비를 얻다 쓰는거야
일본 식당 기술 빼돌려서 짭퉁 식당,우리나라도 일본 식당 기술 빼돌려서 짭퉁 식당 만들었다더라
,보고 판단해줄게
"너,굔 나왔?","너, 고등학굔 나왔어?"
,당연하지
임산부배려석에 페미니즘아웃이라는 스티커 붙여,임산부배려석에 페미니즘아웃이라는 스티커가 붙여져있네
먹는다고 보냈네 ㅋㅋㅋ,[UNK] 아이스크림 먹는다고 보냈네 ㅋㅋㅋ 귀여워
엎어지면 코 닿을 데 있는 학교를 아파트가 생겨 돌아간,엎어지면 코 닿을 데 있는 학교를 아파트가 생겨 멀리 돌아간대.
아파트 안으로 통과하면 빠른데 아파트 부녀 못 하게.,아파트 안으로 통과하면 빠른데 아파트 부녀회에서 못 하게 막았대.
와 음료수 만들 때까지 같이 갈아서 팔았다,와 음료수 만들 때 플라스틱 스푼까지 같이 갈아서 팔았다네
##더 돌릴 때 소리 듣고 못 채나,블랜더 돌릴 때 소리 듣고 눈치 못 채나
##같아,너 인종차별주의자같아
,불쌍하긴 하지
너네 수준은 경찰이 다낸다,너네 생각하는 수준은 경찰이 다 잡아낸다
##만하지,운전자만 억울하지 뭐
,예쁘다 예뻐
전라도인 모르냐?,쟤 전라도 출신인 거 모르냐?
판사가 제일 끝판왕,요즘은 판사가 제일 끝판왕입니다.
그니까 카톡까지 지우고 거짓말하면서 만난 걸 포장까지 해 대단한 사랑이,그니까 카톡까지 지우고 거짓말하면서 만난 걸 포장까지 해 주다니 대단한 사랑이다
북폭 간혹 보이.,북폭 주장하는 사람들이 간혹 보이더라.
##는 게 나을,그냥 냅두는 게 나을 텐데
하도 들어서 그런지 중국 사람 생각하면 기분이 나빠,하도 그런 말을 들어서 그런지 중국 사람 생각하면 기분이 나빠.
아 너 졌,아 너 때문에 게임 졌잖아
##살처럼?,나 몇살처럼 보여?
스시녀,스시녀 어떤데?
연예인들은 인성 별로 사람이 정말,연예인들은 인성 별로인 사람이 정말 많은가보다
이건 뭐.. 거의 미투,이건 뭐.. 거의 미투 수준으로 끊임없이 나오네
맞아 안 유명한 갑질로 뭐로 많더라,맞아 안 유명한 애들도 갑질로 뭐로 말 엄청 많더라
아 하긴 넌 종사해서 더 잘,아 하긴 넌 방송계에 종사해서 더 잘 알겠다
[UNK] 는 처음에는 진짜 잘했는데 가면 갈수록 퀄리티가 떨어지는,[UNK]는 처음에는 진짜 잘했는데 가면 갈수록 안무 퀄리티가 떨어지는 것 같아
그래도 여태까지 보여준 실력으로 따지면 절때 실력없는이,그래도 여태까지 보여준 실력으로 따지면 절때 실력없는 그룹이 아니다.
##겠지 뭐,좋아하는 티겠지 뭐
다문화국가여서인지 차별이 확실히하지?,미국은 다문화국가여서인지 차별이 확실히 덜하지 않아?
##ㅋ났나 보네,ㅋㅋㅋ 많이 화났나 보네
,아 배고파
딸 10년동안한 엄마 나왔,딸 10년동안 학대한 엄마 집유 나왔대
,뭐래니 진짜
##셔서 운전려고,술마셔서 운전 안하려고
