masked,original
[UNK] 페미,[UNK]선수 페미인것같아
야 나 좀만 잘태니까십 뒤에워줘,야 나 좀만 잘태니까 삼십분 뒤에 깨워줘
그럼 저런 일 당하면되는 거야,그럼 도대체 저런 일 당하면 어떻게 해야되는 거야
지 자식 오줌은 깨끗해서 식당 물컵에야 하게.,지 자식 오줌은 깨끗해서 식당 물컵에 쉬야 하게 했대.
애초에 저렇게 낼 수도 사업에 투자한 바보 아니야?,애초에 저렇게 이익 낼 수도 없는 사업에 투자한 사람들이 바보 아니야?
가슴 없어도 자신감 있게 좋아하는 입고다니는게지?,가슴 없어도 자신감 있게 좋아하는 옷을 입고다니는게 멋있지 않아?
##윈 축제 비만 쫄딱 맞고,할로윈 축제 갔다가 비만 쫄딱 맞고 왔네
그렇게 가지 방송에도 계속 나오던데 갔냐?,그렇게 가지 말라고 방송에도 계속 나오던데 결국 거길 갔냐?
##으니까 하는거지,그냥 재밌으니까 하는거지
탈북자 놈이 생매장해서 죽였.,탈북자 놈이 헤어진 여자를 생매장해서 죽였어.
[UNK] 지지하는 경상도....,[UNK] 지지하는 사람들 경상도 사람인데 나....
##에 물 다들었네,흰옷에 물 다들었네
##은것,내가 까먹은것 같아
##을게있지 이런걸 까먹으면?,까먹을게 따로있지 이런걸 까먹으면 어떡해?
##라도 종교에의하면?,지금에라도 종교에 귀의하면 어때?
살아 움직일까봐 문 틈새로 몰래곤,장난감 살아 움직일까봐 문 틈새로 몰래 보곤했는데
##하냐?,무슨 말을 그렇게하냐?
진짜 소독주고 싶,진짜 소독시켜주고 싶었어.
##려.,야 그냥 잊어버려.
ㅋㅋ라도가 되지,ㅋㅋ 그거라도 해야 위로가 되지
,응 충고 고마워
##돼서 그런다니까.,진짜 걱정돼서 그런다니까..
##지?,곱창 맛있지 않냐?
근데 그거 그렇게 열심히해서 내놔 그냥 쓰레기 더미로 한 번에 다 쏟아넣는 거?,근데 그거 그렇게 열심히 분리수거해서 내놔봤자 그냥 쓰레기 더미로 한 번에 다 쏟아넣는 거 알아?
##엔들로 가득한데 난,지하철엔 직장인들로 가득한데 난 뭐지
니 그은 잘냐?,니 그 연하 남친은 잘 지내냐?
일용직이 받을 직업은 아니지,일용직이 무시 받을 직업은 아니지 않냐?
##를 터는 거지?,왜 갑자기 시비를 터는 거지?
[UNK] 진짜늙하다,[UNK] 진짜 안늙고 우아하다
##이랑 코 앞에서싸 전에 샵 가서 헤메코하는건 기본이지,팬이랑 코 앞에서 보는데 팬싸 전에 샵 가서 헤메코하는건 기본이지
돈주고주고워 뭐가 힘들다고 그러는거야,돈주고 밥주고 재워주는데 뭐가 힘들다고 그러는거야
줘도 안 갈 왜,돈 줘도 안 갈거면서 왜 그래
[UNK] 은 이혼까지 한 죽인거임,[UNK]은 이혼까지 한 사람을 왜 죽인거임?
전남 애 보게 해달라고 귀찮게,전남편이 애 보게 해달라고 귀찮게 했대요
나이가 있으니 물건도 걸해,나이가 있으니 물건도 좋은 걸 써야해
##니스럽잖아,좋은건 비싸니 부담스럽잖아
##품팔면 많이하는 거수있어,발품팔면 세일 많이하는 거 찾을수있어
너도했었나?,너도 가수 준비했었댔나?
다 [UNK] 이 짓,다 실제로 [UNK]이 한 짓 맞음
그럼 [UNK] 예뻐서 학대한게 거야,그럼 [UNK]는 예뻐서 학대한게 아니라는 거야?
##도 없지 바로 학원 과외 5000배로함,어림도 없지 바로 학원 과외 신청 5000배로 증가함
층간소음으로 죽였,층간소음으로 이웃을 죽였대.
그래도 죽일,그래도 사람을 죽일 일이냐?
##은 거동 불편한 장애인이나 필요한 거 아님?,리얼돌은 거동 불편한 장애인이나 노인들 위해 필요한 거 아님?
이렇게 남자가 안보이냐,아 왜 이렇게 잘생긴 남자가 안보이냐
##의 위로해주다가 사랑에 빠진듯,서로의 연기력을 위로해주다가 사랑에 빠진듯
[UNK] 때문에 백팔 개혁이 안 되는 거야,[UNK] 때문에 백팔십석이 있어도 개혁이 안 되는 거야
##지,빨리빨리 다녀야지!
엄마는 없다고만 장 볼 때 채소도 절대 안 사다줘,엄마는 맨날 돈 없다고만 하면서 장 볼 때 채소도 절대 안 사다줘
스승님 소인 돈게,스승님 소인 돈 쫌 벌게 해주세요
예민해서 아무거나 바르면서 그래,나 피부 예민해서 아무거나 바르면 안돼서 그래
보라고 몸 올린 거,니가 보라고 몸 사진 올린 거 아니야
잤어? 왜 그랬어.. 그래도 안 해서 다행이다,어제 늦게 잤어? 왜 그랬어.. 그래도 지각 안 해서 다행이다
분명 맞추고 잤는데 못 듣고고 잤나 봐,어제 분명 알람 맞추고 잤는데 못 듣고 끄고 잤나 봐
##이 많은인가 보네,추억이 많은 옷인가 보네
남자 있는데 다른 설렜,남자친구 있는데 다른 남자한테 설렜어
정치인들 일반 직장인의 1. 5배 정도로만 맞춰 나라 금방 사라짐,정치인들 월급을 일반 직장인의 1.5배 정도로만 맞춰도 나라 부채 금방 사라짐
시골 공부 못하는,시골 사람이라고 공부 못하는 거 아니잖아
부작용으로 죽은도 못했잖아,부작용으로 죽은 사람들 보호도 못했잖아.
[UNK] 이,난 [UNK]이 별로야
##도 컸겠는데,피해도 꽤 컸겠는데?
##파 대주주냐,[UNK] 네파 대주주냐?
##지 뭘지냐,잊혀지긴 뭘 잊혀지냐
유학보낼 능력 없어서 자사 싶은 부모들은 어떡하나,유학보낼 능력 없어서 자사고라도 보내고 싶은 부모들은 어떡하나
사람들이구 것도 아니잖아,저 사람들이 나라구한 것도 아니잖아
##에다가 실체를놔야지,지역 카페에다가 실체를 밝혀놔야지
아직도 그남 정리 못했?,너 아직도 그 유부남 정리 못했어?
나 그 다까지 기다릴거야,나 그 사람 정리 다 할때까지 기다릴거야
##했어도 딸이랑 전남편케 만드는거 진짜 신선한 충격이다,이혼했어도 딸이랑 전남편 생일케익 만드는거 진짜 신선한 충격이다
너 왜 살어 ㅋㅋ,너 왜 이렇게 살 쪘어 ㅋㅋ
돼지 냄새...,돼지 냄새라니... 너무하네
##햇으면서 왜 이제와서 후회하는?,넌 결혼햇으면서 왜 이제와서 후회하는 거야?
##붓딸을 9 때부터 300차례 넘게 범?,의붓딸을 9살 때부터 300차례 넘게 범했다고?
임신시켜서도 했었 ㅠ. ㅜ,임신시켜서 낙태도 했었대. ㅠ.ㅜ
친나,친모는 몰랐나?
##모가 리가 있어?,친모가 모를 리가 있어?
[UNK] 도 그런 거 사람이었어?,[UNK]도 그런 거 믿는 사람이었어?
##가이 되나,성매매가 환불이 되나?
##지라는을,역지사지라는 개념을 모르나
설거지론이니 뭐니 하는 것도 보면 서글,설거지론이니 뭐니 하는 것도 보면 뭔가 서글프더라
##리려고 혈안이 된 경우가 많더라.,아무튼 남을 끌어내리려고 혈안이 된 경우가 많더라.
한국은 안락사,한국은 안락사 불법이다.
군대에서 훈련도 저렇게 안 먹은 것,나 군대에서 훈련 받고도 저렇게 안 먹은 것 같은데
##도 하지?,어제도 하지 않았어?
[UNK] 이겠네,[UNK]이 앞으로 험난해지겠네
어린애가 이렇게 유해한를 세상이 말세다,어린애가 이렇게 유해한 매체를 접하다니 세상이 말세다
얘 개지 않냐,얘 몸매 개좋지 않냐
살도 없는데 왜 거냐???,살도 없는데 운동 왜 하는 거냐???
의사선생님하고 간호사 언니부터가는데해 ㅋㅋㅋ,의사선생님하고 간호사 언니 호칭부터가 차이나는데 뭔소리해 ㅋㅋㅋ
,에휴 그래라~
##이면 임대 아파트라도 살면 아닐까라고 아니었네,신혼이면 임대 아파트라도 살면 좋은거 아닐까라고 생각했는데 아니었네
진심으로 전투량 맛있던 거 같은데?,진심으로 전투식량 맛있던 거 같은데??
보라고 입은,너 보라고 입은 것도 아닌데
조선족들한테내에서 왕따 당함,나 조선족들한테 직장내에서 왕따 심하게 당함
##살이 나라에서도 미성년자 아닌가?,17살이면 저 나라에서도 미성년자 아닌가?
##가위원으로 나왔지,커리어가 있으니까 심사위원으로 나왔지
##하는 사람이라이 쎈듯,랩하는 사람이라 발음이 좀 쎈듯
,오늘도 지각하겠어
넌이네,넌 매번 지각이네
근데 살찐 애들은 진짜 거 안 참는게 그렇게 힘듦?,근데 살찐 애들은 진짜 먹고 싶은 거 안 먹고 참는게 그렇게 힘듦?
다이어트 성공한 친구한테 물어보니까 걔는 음식 안 사람이 물 속에 들어가서고 싶은 정도였,다이어트 성공한 친구한테 물어보니까 걔는 음식 안 먹는게 사람이 물 속에 들어가서 숨쉬고 싶은 정도였대
난큰 여자가 이상인데 너네는 좋음?,난 키큰 여자가 이상형인데 너네는 뭐가 좋음 ?
뭐래 그런 사람 본적없다. 키 커야 옷핏도 살고 큰키랑? ㅋ,뭐래 그런 사람 본적없다 .. 키 커야 옷핏도 살고 내가 큰키랑 그런가?ㅋ
이번에 자기 장검으로 찔러 죽인 나도 저런 생각이 들만큼 화가 났어,이번에 자기 부인 장검으로 찔러 죽인 인간 보니 나도 저런 생각이 들만큼 화가 났어
착한 기사들이 소수의 나쁜사람들탱이,착한 기사들이 소수의 나쁜사람들땜에 덤탱이 쓰네
그러면 그냥 매일 삼이나지,그러면 그냥 매일 삼김이나 먹어야지
주관 뚜렷하고고자 것들도 뚜렷니까,주관 뚜렷하고 이루고자 하는 것들도 뚜렷하시니까
[UNK] 어디서,[UNK]는 요새 어디서 뭐하냐
##라도겠지 뭐,밥이라도 먹겠지 뭐
맞고이 죽었,백신 맞고 고등학생이 죽었대
[UNK] 은 옆에서 줘도 안 듣,[UNK]은 옆에서 가르쳐 줘도 잘 안 듣네
그리고 [UNK] 페미,그리고 [UNK] 페미라는데?
난 적어도 도 성희롱이나 해,난 적어도 도 넘은 성희롱이나 음주운전은 안 해
사람이 있다면 소름끼치,진짜 그런 사람이 있다면 소름끼치겠다
여자들은 경치 좋은데 놀러와서 경치는 안 보고 거울 보냐,여자들은 경치 좋은데 놀러와서 경치는 안 보고 왜 거울만 보냐?
그것도 꼭 여자들끼리 와서 거울,그것도 꼭 여자들끼리 와서 거울만 봄.
남자가,나는 능력있는 남자가 좋아
,야 무슨 소리야
그리고 망해도 재수,그리고 망해도 재수하면 되지
##하는 세상에 얼마나,재수하는 사람이 세상에 얼마나 많은데
,[UNK]형님 화이팅
정치인들이 만들어 지역감정 놀아나 좋냐?,정치인들이 만들어 놓은 지역감정에 놀아나면 좋냐?
할로이라고 해라 ㅋㅋㅋ,그냥 할로윈이라고 해라 ㅋㅋㅋ
잘주면서 그래! ㅋㅋ,그래도 잘 놀아주면서 왜 그래! ㅋㅋ
그냥... 애들이다는 생각밖에 안 든다,그냥... 애들이 참 밝다는 생각밖에 안 든다
쟤보다 공부도 더 많이하고 착하게 이모양이냐,쟤보다 공부도 더 많이하고 착하게 살았는데 난 왜 이모양이냐
그래서 니 계좌가 그렇게렇,그래서 니 계좌가 그렇게 퍼렇니?
##도치 않은 느낌적인 느낌ㅋ,받으면서도 뭔가 개운치 않은 느낌적인 느낌ㅋ
이 예쁜 좀바,이 예쁜 유튜버 사진 좀 봐바
저 선배 여자실하다 걸렸다며?,저 선배 여자화장실 도촬하다 걸렸다며?
##길래 그렇게겼어?,뭘 봤길래 그렇게 웃겼어?
휠체어를 탄 버스를려고 했.,휠체어를 탄 사람이 버스를 타려고 했거든.
대한민국 국민과 법 위에 민노총이 있는,대한민국 국민과 법 위에 민노총이 있는 것도 아닌데…
##도 나라 국민이 ㅎㅎ,6070도 이 나라 국민이야 ㅎㅎ
자꾸 시장을 자기들 힘으로 통제하려는이 오만한,자꾸 시장을 자기들 힘으로 통제하려는 발상이 오만한 거 아닌가
##으로 할 만한 수준이 텐데?,그런 마음가짐으로 할 만한 수준이 아닐 텐데?
##도 먹었는데 그게 무슨래?,나 어제도 먹었는데 그게 무슨병이래?
실명 수 병이,실명할 수 있는 병이래
와 웹툰 작가하면 하위라도 연은,와 웹툰 작가하면 하위권이라도 연 5000은 주네
[UNK] 이 ‘ 머리 ’ 는고 [UNK] 이 꼽주.,[UNK]이 ‘머리 올린다’는 말했다고 [UNK]이 꼽주더라.
,곱창 먹고 싶다
좀 많이 잤다고 일이야?,하루 좀 많이 잤다고 그렇게 욕할 일이야?
,ㅋㅋ 미안하다
##하고 싶다,아 연애하고 싶다
##솔이야,ㅇㅇ 나 모솔이야
뭐?솔이라고 내가 소리까지 들어야 하냐,뭐? 모솔이라고 내가 그런 소리까지 들어야 하냐?
[UNK] 은 어디 잘듯,[UNK]은 어디 잘 못 걸린듯.
누가 쟤 시기,누가 쟤를 시기하나 ㅠ
출신이라 하면 어딜가나받고사는게야,변호사 출신이라 하면 어딜가나 대접받고사는게 현실이야
변호사가 같지않 들었어,요즘 변호사가 예전 같지않다고 들었어
중국 [UNK] 한국인 몰카 ㄹㅇ,중국 [UNK]에 한국인 몰카 ㄹㅇ 수두룩함
중국몽 [UNK]임,중국몽은 [UNK]가 시초임
2차라니 ~ 이거 사람? ㅋㅋ,2차 장마라니~ 이거 믿는 사람?ㅋㅋ
민매에가 벗은 거야 ~,민소매에 반바지가 무슨 벗은 거야~
##라서 미치 진짜,아 변비라서 미치겠어 진짜
##하게네,주식 살벌하게 떨어지네
,관심없는 기사!
##를 못했네,과제를 다 못했네.
##을 꺼내야겠다 싶다,슬슬 겨울옷을 꺼내야겠다 싶다
##이같아서,아침 출근길이 지옥같아서
이렇게 추 재택 시켜 하는거 아니냐?,이렇게 추우면 재택근무 시켜줘야 하는거 아니냐?
나도 많이데 벗어줄 수 있어,나도 많이 추운데 옷 벗어줄 수 있어?
,에휴 그래라~
니 임신한 것도 조용히 낙태를 해,니 혼자 임신한 것도 아닌데 조용히 낙태를 해?
##10과 부동산은,현금10억과 부동산은 다릅니다
너의 호호보다의 인권이 더 중요하다는 안 해?,너의 호불호보다 소수자의 인권이 더 중요하다는 생각은 안 해?
##도 좀 많이 해?,요새도 좀 이상한 소리 많이 해?
어휴 그냥 네가 게,어휴 그냥 네가 포기하는 게 좋겠다
##야한 게 좋은 거야,친구야 뭐든 솔직한 게 좋은 거야
[UNK] 는이랑 다겠다,[UNK]는 [UNK] 출연진이랑 다 친하겠다
##한지 오래으니까 아마 그럴 껄?,활동한지 엄청 오래 됐으니까 아마 그럴 껄?
##등바보려는 서민만 힘드네요,아등바등 살아보려는 서민만 힘드네요
맨날 [UNK] 한테만 짜게 거 같지,왜 맨날 [UNK]한테만 점수 짜게 주는 거 같지
나 진짜 하루에 만원밖에 안쓰는데 낭비한다고 엄빠났어,나 진짜 하루에 만원밖에 안쓰는데 낭비한다고 엄빠한테 혼났어ㅠ
진짜주하고 싶다,회사 진짜 탈주하고 싶다
생각없이 먹는?,나 생각없이 먹는 거 아니거든?
대만 홍콩 혼혈 ㅋㅋㅋㅋ,쟤 대만 홍콩 혼혈임 ㅋㅋㅋㅋ
성형 티나게 하는 무슨 생각으로 저렇게??,성형 저렇게 티나게 하는애들은 무슨 생각으로 저렇게 하는거야??
여자들 역할이 죄야,여자들 역할이 있는거지 남자가 무슨 죄야
"[UNK] 아, 혹시개줄 수 있니?","[UNK]아, 혹시 지우개좀 빌려줄 수 있니?"
"야, [UNK] 야, [UNK] 또개달.","야, [UNK]야, [UNK] 또 지우개 빌려달란다."
점심먹어? 또 짜장면 먹자고 하면 진짜 바로거니까 알아서해들,오늘 점심 뭐먹어? 또 짜장면 먹자고 하면 진짜 바로 나갈거니까 알아서해들
쟤는 곧다고 돈더라 ~,쟤는 곧 결혼한다고 열심히 돈 모으더라~
나도 500만원 빌려줬다가 여자서던 적 있음,나도 500만원 빌려줬다가 여자 잠수 타서 난리났던 적 있음
##에 빠진 것처럼 퍼마시더라니...,어쩐지 술독에 빠진 것처럼 퍼마시더라니...
경찰들 범죄자고대,경찰들 범죄자 무섭다고 도망갔대
"그러니까, 국가을게 경찰....","그러니까, 국가 치안을 지키는게 경찰인데...."
##사들이 선생님이 됐냐,미용사들이 언제부터 선생님이 됐냐
뚱뚱한 돼?,뚱뚱한 사람도 필라테스 다녀도 돼?
아니 먼저 다니면서 살부터 빼,아니 먼저 헬스 다니면서 살부터 빼야돼
##스러워,너무 부담스러워
그래? 센 좋,그래? 나는 센 여자가 좋던데
,적당히 해
박람회 가서 오피스 누나 들어간 보고 확린다고 했잖아,웹툰 박람회 가서 오피스 누나 들어간 제목 보고 확 끌린다고 했잖아
오죽하면 일가척이를 냈겠어,오죽하면 일가친척이 저런 탄원서를 냈겠어
##는 스폰서 하잖아,연예계는 스폰서 많다고 하잖아.
##들이던데?,선배들이 다 그러던데?
갑자기 개 베푸,갑자기 선행 여러 개 베푸네
아ㅋ 여자들 기은 도대체 하는거냐,아 ㅋㅋㅋ 여자들 기 싸움은 도대체 왜 하는거냐
,알았어 조언 고맙다
성형수술을대로 했구만 ㅋㅋㅋㅋ,성형수술을 각자 취향대로 했구만. ㅋㅋㅋㅋ
얼굴 못생겨서 댄서 된 거,엥 얼굴 못생겨서 댄서 된 거 아닌데…
##한 사랑 하시는 중이구만,절절한 사랑 하시는 중이구만
여자는 승무원 되는게,저 여자는 승무원 되는게 꿈이래
네가 뭔데 남의 와서 척이야?,네가 뭔데 남의 댓글 와서 아는 척이야?
여자는당해도 싸다,저 여자는 고소당해도 싸다
##하게 한건 아니고?,니가 서운하게 한건 아니고?
심보 악,참 사람 심보 악하다
당신이 그장 탈룰라 시전이 가능할수도,당신이 말한 그문장 탈룰라 시전이 가능할수도 있습니다
##인가봐...,나 진짜 중독인가봐...
##하다가 복귀각 잡을 듯.,잠깐 자숙하다가 슬슬 복귀각 잡을 듯.
놈이,어떤 놈이길래
##도 오죽했으면겠냐고,친구들도 오죽했으면 그랬겠냐고.
그러게 수준이 그냥 SNS 퍼 같기도 하고,그러게 수준이 그냥 SNS에서 퍼온 글 같기도 하고
스포츠 원가 대비 가격 거품,스포츠 의류 원가 대비 가격 거품 너무 심해
여자도 아니야?,여자도 군대 가야하는거 아니야?
자기 일 여자가 섹시,자기 일 열심히 하는 여자가 섹시해
##들 일본가면 일본남자들한테 엄청데?,한국여자들 일본가면 일본남자들한테 인기 엄청 많다는데?
##들이단 말이야...?,일본남자들이 그렇단 말이야...?
[UNK] 걸려도 학교 가겠다 강단이,[UNK] 걸려도 학교 가겠다는 강단이 좀 있어야지
살지말자,우린 그리 살지말자
맞아보다가 날씨도 좋고도 싸고!,맞아 유럽보다 동남아가 날씨도 좋고 물가도 싸고!
되지,절대 안 되지
그렇다고 저까지 달고 그런 애들도 문제가 있지.,그렇다고 저 사람한테 심한 악플까지 달고 그런 애들도 문제가 있지.
은퇴 나서 일찍 죽는,은퇴하고 나서 일찍 죽는 경우가 많네
의사라더니 게,의사라더니 말하는 게 좀 그렇다
##들 너무랐다.,남자 아이돌들 너무 말랐다.
##도 상대적으로 크잖아 남자들은...,와 진짜 키도 상대적으로 크잖아 남자들은...
아프가니스탄 부모들이라도 살라고 철조망 밖으로 외국 군대한테 던지는 상황이 마음,아프가니스탄 부모들이 아기라도 살라고 철조망 밖으로 외국 군대한테 던지는 상황이 너무 마음 아프다
[UNK] 같은 애한테 여자친구 게네,[UNK] 같은 애한테 여자친구가 있었다는 게 놀랍네
협찬 받아놓고 피해자 척 하는 상도덕 위반.,협찬 받아놓고 피해자인 척 하는 건 상도덕 위반 맞지.
알바생 마음에 딸?,알바생 마음에 드는데 번호 딸까?
코스프레나 좋아하는 환장할 수도 있겠는데?,코스프레나 애니 좋아하는 애들은 오히려 환장할 수도 있겠는데?
##게 생겨서 사람으로 안보...,선하게 생겨서 그럴 사람으로 안보였는데...
오늘 [UNK]뱅 나온거캠 개생김..,오늘 [UNK]뮤뱅 나온거 직캠 개잘생김..
아이돌 좋아하는 범법행위도세요,아이돌 좋아하는게 범법행위도 아닌데 왜그러세요
##는 7초마다 죽는.,중국에서는 7초마다 사람이 죽는대.
밤 열한 시인 먹고 싶다,밤 열한 시인데 치킨 먹고 싶다
중국에서토지고 배짱 장사더라,중국에서 희토류가지고 배짱 장사 한다더라
##같은어서 현실인가 싶네요,너무 영화같은 일이어서 현실인가 싶네요
##싸들 부러워서 그러냐,인싸들 부러워서 그러냐
[UNK]이식 한줄?,[UNK]모발이식 왜 한줄 알아?
빈약해 ㅋㅋㅋ,근데 너무 빈약해 ㅋㅋㅋ
넌 내가 그냥 사진 찍는 기계나 삼각 정도로,넌 내가 그냥 사진 찍는 기계나 삼각대 정도로 보이지?
,과연 그럴까?
넌 얼마나 잘래?,넌 얼마나 잘 살고 있길래 그래?
분장한로 진짜 꽉있더라,분장한 사람들로 진짜 꽉 차있더라.
왜 애를 낳는지 진짜 저런 만드는 건가?,왜 애를 안 낳는지 진짜 몰라서 저런 정책 만드는 건가?
치명척도 자신있어야 할,치명적인척도 자신있어야 할 수 있는거야
##라도테니 새롭게 출발을 해봐,지금부터라도 기회를 줄테니 새롭게 출발을 해봐
기회가 아니라 굽신거리고 다시 살아라,기회가 아니라 굽신거리고 다시 살아라는 말이네.
부작용 좀 빨리 내봐라,백신 부작용 비율 통계 좀 빨리 내봐라
아무리 한녀라지만 이건,아무리 한녀라지만 이건 좀 말이 심하네
입을 공업용 고무줄로 묶어놓 너무 끔찍하고 가슴이,강아지 입을 공업용 고무줄로 묶어놓다니 너무 끔찍하고 가슴이 아프다
애 없을때 이혼하세요 애 죽 밥도 됨,애 없을때 이혼하세요 애 생기면 죽도 밥도 안 됨
##들 자체가 근데 원래 그렇 함,쟤네들 교리 자체가 근데 원래 그렇기는 함
백신 맞고 부작용으로 죽은 왜 죽었 되는 거 아니냐?,백신 맞고 부작용으로 죽은 사람들 왜 죽었는지는 알아야 되는 거 아니냐?
지방 지방대!,지방대도 지방대 나름이야!
지방대 ~,지방대 놀러와 한번~
##도도 꽤 좋단 말이지,공기도 좋고 시설도 꽤 좋단 말이지
놈의 28은지 않는 샘인가,그 놈의 28만원은 마르지 않는 샘인가
##가 제일 없는 양주를 좋아하는게 그렇게 먹을니? 너무한다,숙취가 제일 없는 양주를 좋아하는게 그렇게 욕 먹을 일이니? 너무한다
##할 더 거 일수도 있잖아.,자랑할 게 더 늘어난 거 일수도 있잖아.
사람이야 대체?,[UNK]은 뭐하는 사람이야 대체?
평생 담긴 해본 거 같다,평생 진심이 담긴 사과는 안 해본 거 같다
##탕 싶다,아 감자탕 먹고 싶다
너는도 먹고 싶은 게냐?,너는 이 시간에도 먹고 싶은 게 생각나냐?
##도 하고 살도 빼라,제발 운동도 하고 살도 빼라
부산 사투리 정신줄 놓고 일본어처럼,부산 사투리 정신줄 놓고 들으면 일본어처럼 들리던데
아니 삼청교육대 얼마나 안 거냐,아니 삼청교육대 얼마나 안 좋은 곳이었던 거냐
##향녀 나라가 백성을 지켜주지 못해서 생긴 너무 아픈 비극이다,환향녀라는 말은 나라가 백성을 지켜주지 못해서 생긴 너무 아픈 비극이다
##리겠네,전쟁나면 다 뚫리겠네
[UNK] 는 가발만 진짜 ㅋㅋㅋ,[UNK]는 가발만 쓰면 진짜 웃기다 ㅋㅋㅋ
같은 거주면 진짜 잘 것 같아,역할 같은 거 정해주면 진짜 잘 살리는 것 같아
##한테 라벨 프린터 사 차라리 그 돈으로 메이커있는 목걸이를 욕먹었다.,여친한테 라벨 프린터 사줬는데 차라리 그 돈으로 메이커있는 목걸이를 사라고 욕먹었다.
왜 개목 안 쏘다니는?,왜 개목줄을 안 채우고 쏘다니는 거에요?
,"죄송합니다, 죄송합니다"
##들이 참 많아,이 동네는 고양이들이 참 많아
그네 이 주인이니 우리 같은 사람들이 맞춰야하지 않겠어?,그네들이 이제 이 세상 주인이니 우리 같은 사람들이 맞춰야하지 않겠어?
교육받던 상황이랑 또 다르니까 우리랑은 다른 타입의 사람들인거겠지 수준라기,우리가 교육받던 상황이랑 또 다르니까 우리랑은 다른 타입의 사람들인거겠지 수준차이라기보다는
나 가끔 비키니 눈,나 가끔 비키니 쇼핑몰 눈팅함
좀 혐오스럽다,이건 좀 혐오스럽다
##척 하는게 진짜 쎈,쎈척 하는게 아니라 진짜 쎈거임
##을는데 다 팅팅 불은 걸 줬,라면을 시켰는데 다 팅팅 불은 걸 줬어
##기 싫다고 미인 출전 포기한 여자가,백신맞기 싫다고 미인대회 출전 포기한 여자가 있네
나 이래 물속에서 허우 거리듯이 살겠단 말입니다,나 이래 물속에서 허우적 거리듯이 더는 못 살겠단 말입니다
,그러게 말이야~
[UNK] 깐 거리네,[UNK] 갑자기 깐부 거리네
저 [UNK],저 [UNK] 지지자냐?
##쌍 여신이야,둘 다 무쌍 여신이야
여자들 먹는 한이 있더라도 못하겠다,여자들한테 욕 먹는 한이 있더라도 거짓말은 못하겠다
[UNK] 같애,[UNK] 교수님 같애.
,아니ㅠㅠ
인성 영업 망해버렸네,인성으로 영업하더니 결국 망해버렸네
역시 아이돌을 인성 파면 될,역시 아이돌을 인성으로 파면 안 될 듯
이 치더지,이 치어리더 이쁘지 않냐
ㅋㅋㅋ 군대 놈들이 주한미군 철수 찬성하는 건,ㅋㅋㅋ 군대 갔다 온 놈들이 주한미군 철수 찬성하는 건 뭐냐
ㅋㅋㅋ 미군하면 그냥 최체라고 ㅋㅋ,ㅋㅋㅋ 미군 철수하면 우리나라 그냥 최약체라고 ㅋㅋ
##들 판정어,그니까 댄서들 판정 어이없어
특히 여자가,특히 여자 캐릭터가 엄청 귀여워
[UNK] 친 활동 정지 안 시키냐?,[UNK]는 사고 친 애들 활동 정지 안 시키냐?
냄새 안 나게 해서 다른 자식을 본능.,냄새 안 나게 해서 다른 자식을 지키려는 본능이야.
백신 부작용으로 죽을 로또 맞을 높은데?,백신 부작용으로 죽을 확률이 로또 맞을 확률보다 높은데?
너 바람 핀다는 돌,너 바람 핀다는 소문이 돌던데?
,너 미쳤어?
바람든 니가 무슨야?,바람 피든 말든 니가 무슨 상관이야?
니중 냄새,니 인중 냄새 아닐까?
,뭐래 아니거든
##할래?ㅋ,내기할래?ㅋㅋㅋ
됐고 밥줄테니까 먹고 싶은지 말해,됐고 밥 사줄테니까 뭐 먹고 싶은지 말해.
##이지...,자업자득이지 뭐...
##들 소리 소름 돋는다,초등학생들 하는 소리 들으면 소름 돋는다
나대지,그래야 안 나대지
내가 갔는데 남자랑 자고있더라,내가 여친집에 갔는데 다른 남자랑 자고있더라
쟤는 왜 안 만들고 개 붙어있지,쟤는 왜 남친 안 만들고 개랑 붙어있지?
여자는데 기념할 날이 왜 많은 거냐,여자 사귀는데 기념할 날이 왜 이리 많은 거냐?
##을려는 거겠지,선물을 챙기려는 거겠지.
[UNK] 은 성욕 크게 그리냐?,[UNK]은 왜 남자만 성욕이 크게 그리냐?
일본 골지 침대 선수들 피해봤나봐,일본 골판지 침대 때문에 우리나라 선수들 피해봤나봐
꼬장부,오늘도 꼬장부렸어?
##은 했냐?,소개팅은 잘 했냐?
##이 부족 몸에서 냄새가 난,탄수화물이 부족하면 몸에서 냄새가 난대
케톤 몸이랑 입에서 냄새가 나는,케톤때문에 몸이랑 입에서 냄새가 나는거라더라고
그래서 몸이랑 입에서 냄새가거였나봐,내가 그래서 가끔 몸이랑 입에서 냄새가 나는거였나봐
근데 ㄹㅇ 이미지만보면가 고대살하긴 함,근데 ㄹㅇ 학교 이미지만보면 연대가 고대 압살하긴 함
저 여자가 결혼 전에 남자 알아내는 법을어,저 여자가 결혼 전에 남자 재산 알아내는 법을 유튜브에 올렸어
남편난 게 아내 아니잖아,남편 바람난 게 아내 잘못은 아니잖아.
남친한테하잖아. ㅋㅋ,남친한테 미안하잖아..ㅋㅋ
그냥 뚱뚱한거 그렇게 해,그냥 뚱뚱한거가지고 말을 그렇게 해
##하게 살아가네.,그래도 꿋꿋하게 잘 살아가네.
[UNK]지를 않는다,[UNK]은 진짜 늙지를 않는다
진짜 전통하다 코칠 수도 있어요.,진짜 전통 무시하다 큰 코다칠 수도 있어요.
