masked,original
ㅇㅇ 다들 한아본 없는 사람처럼 그러네,ㅇㅇ 다들 한 번도 앓아본 적 없는 사람처럼 그러네
[UNK]도 그이 끝도 없이 추락,[UNK] 공대도 그 위상이 끝도 없이 추락중이다
##은빨이지,원래 운동은 장비빨이지
무자,오늘 삼겹살 무러가자
우와 니키로 라면서해야하는거 아냐?,우와 니 65키로 라면서 음식조절해야하는거 아냐?
헐긴하지만 이제 시집도,헐 정상이긴하지만 이제 시집도 가야하고
##만 하네ㅋㅋ,뭐 좀 봐줄만 하네ㅋㅋ
##랑 사귀면 느낌일까?,저런 사람이랑 사귀면 어떤 느낌일까?
##세요,헐 누구세요?
와 저 여배우 진짜적이야 그냥,와 저 여배우 진짜 예쁘다 독보적이야 그냥
레스토랑은 다 요리사가 아냐? 이같다..,레스토랑은 다 요리사가 하는거 아냐? 이집은 아닌거같다..
진짜만보고게가 된다 ㅠ,진짜 블로그만보고 온게 후회가 된다 ㅠ
##에까,지식인에 물어볼까?
그렇게 못 같지도,그렇게 잘 못 한거 같지도 않은데
너희 부대 사망 났다,너희 부대에서 사망사고 났다면서
##한테 돈 건 심리야?,아이돌한테 돈 쓰는 건 무슨 심리야?
같은 거지,취미활동 같은 거지
애정 하는 것에 돈지,내가 애정 하는 것에 돈 쓰는 맛이지
여자들은 몸매가 것,중국 여자들은 몸매가 좋은 것 같아
쟤 골 욕심 자기가 출장하겠다고 자청한 거잖아,쟤 부상인데 골 욕심 때문에 자기가 출장하겠다고 자청한 거잖아
와 빨이 컸 건가,와 [UNK] 빨이 너무 컸던 건가
모자이크 안된 야동됐다던데?,일본에서 모자이크 안된 야동들이 유출됐다던데?
다카드로 긁고 먹어 그럼,다 개인카드로 긁고 먹어 그럼?
,공부 좀 해라
게이,쟤 게이라면서?
##라이 치킨이 그래?,후라이드 치킨이 어때서 그래?
##라이 보단 킹갓 코다리 강정이 최고지!,후라이드 보단 킹갓 코다리 강정 치킨이 최고지!
,그건 너무하다
##나 대량 만드는 영상 ㅋㅋㅋ,달고나 대량으로 만드는 영상 개웃기네 ㅋㅋㅋ
그냥 거지,그냥 예를 든 거지
발로차!,야 문을 왜 발로차!
한 번간부 해보고 싶다,나도 한 번쯤은 학급간부 해보고 싶다
"##이 치매, 자꾸 깜빡하고 그랬는데","내 여친이 치매래, 자꾸 깜빡하고 그랬는데"
뭐? 어쩌다가? 요즘 젊은 사람들 치매고는,뭐? 어쩌다가? 요즘 젊은 사람들 치매 잘 걸린다고는 하던데
병발 다 들어야 하려나?야,내가 병수발 다 들어야 하려나? 걱정이야
문 닫으려는데 여자가있어서 밀쳤더니 성추행으로했 ㅋㅋㅋ,문 닫으려는데 여자가 막고있어서 밀쳤더니 성추행으로 신고했대 ㅋㅋㅋ
원격수업 중 흘러나온 성관계 신음 야동 소리,원격수업 중 흘러나온 성관계 신음소리는 야동 소리래.
##분간 들렸길래 줄 알았다. ㅋㅋㅋ,20분간 들렸다길래 그런 줄 알았다. ㅋㅋㅋ
일로 번쩍 들었을거,이번 일로 정신이 번쩍 들었을거.
"남자나 여자나,으나 늙... 인간은 역시 똑같은.","남자나 여자나, 젊으나 늙으나... 인간은 역시 똑같은건가."
,많이 이상해?
,목욕탕 오랜만에 온다
야 먹을만?,야 나는 그거 먹을만 하던데?
그냥 철판 활동,그냥 철판 깔고 활동하지.
알고 보니 게이이 내 발을 거였어.,알고 보니 게이 커플이 내 발을 밟은 거였어.
##는 씻 없어지는 게.,아토피는 씻어서 없어지는 게 아니야.
노인 창출때문에 유지하는 것도?,노인 일자리 창출때문에 유지하는 것도 있지 않을까?
공인중개 살인사건 났네,은평구에서 공인중개사 살인사건 났네
지금 여권 정치인씨를 강제추행 중이다.,지금 여권 정치인 A씨를 강제추행 혐의로 수사 중이다.
검은색 암 사서 방에 달고 싶다,검은색 암막커튼 사서 방에 달고 싶다
,숙제 다 했다
여성거나 짓 기사가 하루에만 몇 건이야 대체?,여성 죽이거나 몹쓸 짓했다는 기사가 하루에만 몇 건이야 대체?
여기가 붕괴도 무조건아,여기가 붕괴돼도 난 무조건 살아남아
##된 꿈이라는 거 모르겠냐ㅋㅋㅋ,허망된 꿈이라는 거 진짜 모르겠냐ㅋㅋㅋ
코카인 없이 어떻게 수 있겠어,코카인 없이 어떻게 사람이 살 수 있겠어?
못 살아서 벌벌 떨,나 못 살아서 손이 벌벌 떨려
여자처럼 게건?,여자처럼 말하는 게 어떤건뎅?
엥? 니이 이고 있다고?,엥? 니 남친이 이 여자랑 사귀고 있다고?
그 정도는 아니고... 뒤떨어진,그 정도는 아니고... 시대에 뒤떨어진 이름이네요
초딩떄 베랑은 잘지구 있냐?,너 초딩떄 베프랑은 잘지내구 있냐?
무슨 소리 절가년인데,무슨 소리 절교한지가 백만년인데
사람 같지 않게,요즘 사람 같지 않게 끈기 있고
하고,나는 지금 하고 싶다고
축금 + 경 낸 돈 10 % 도 못건진다 ㄹㅇ,축의금+경조사 낸 돈 10%도 못건진다 ㄹㅇ.
넌 돈냐?,넌 그래서 돈 많이 모았냐?
더듬는 거에서 선 경우가 많네,더듬는 거에서 선 넘는 경우가 많네.
받은들도 찰듯,대본 받은 연기자들도 기가 찰듯
죽 뭘으라고 강요를 하냐?,슬퍼 죽겠는데 뭘 웃으라고 강요를 하냐?
,왜?
야 인구 한국에서도 안 먹히는데는 인구만 1억,야 인구 5천만 한국에서도 안 먹히는데 걔네는 인구만 1억이야
잘 애들도 훨씬 먹히겠냐?,잘 생긴 애들도 훨씬 많을텐데 그게 먹히겠냐?
오늘 헌 가실?,오늘 헌팅포차 가실?
여친 죽어,여친한테 걸리면 나 죽어
중국엔 곳곳에 짝퉁이 판을 친,중국엔 시장 곳곳에 짝퉁이 판을 친대.
몰라ㅋㅋ문신은 하기 싫고 쎄는 싶고봐,몰라ㅋㅋ문신은 하기 싫고 쎄보이고는 싶고 그런가봐.
이번녀는 페미,이번 소개팅녀는 페미 아니지?
##를 하는구나.,너는 요리를 잘 하는구나.
그래서 다먹을 생각만 해,그래서 다 시켜먹을 생각만 해.
리디아고는 시러. 고려대 특별전형으로 가서 논란이 있었지,리디아고는 한국 시러해. 근데 고려대 특별전형으로 가서 논란이 있었지
나 남편이 애기 보 10만원 주더라,나 남편이 애기 보느라 고생했다고 10만원 주더라
##도 아니고 고작?,100만원도 아니고 고작 10만원?
##가 시원찮은,남편 벌이가 시원찮은가봐
넌 혼자육 받은게 있긴있어?,넌 혼자 독박육아 하면서 받은게 있긴있어?
노는 애 중에 요즘 좀 맞는 애 있는데 칠까 고민 중,나랑 노는 애 중에 요즘 좀 안 맞는 애 있는데 손절 칠까 고민 중
조만간 한번 갰어,조만간에 한번 말해야 갰어
여자 뚱뚱,저 여자 뚱뚱한거 봐
핼윈이들 난리인거야?,핼러윈이 뭐라고 이렇게들 난리인거야?
##할 방법이겠어,제재할 방법이 없는데 어쩌겠어
,화이팅이다
##하느라 몸무게 갱신한 같던데?,먹방하느라 최고 몸무게 갱신한 것 같던데?
##우먼들도 다 성형,요즘엔 개그우먼들도 다 성형하더라
##해 작 말,조용히해 작게 말하라고
K 힙합 남자는 걸러야,K 힙합 듣는 남자는 걸러야 하나?
요즘 티비에서 개그 안하니까 개그맨들 전부다 개인 ㅋㅋ,요즘 티비에서 개그 코너 안하니까 개그맨들 전부다 개인방송 하더라 ㅋㅋ
여자 일본인,저 여자 일본인인가?
##인데 한번 먹으러 갈까?,가을인데 전어 한번 먹으러 갈까?
30대중 쟤는끼,30대 톱스타중 쟤는 못끼지
넌 없으니 저렇게나,넌 친구가 없으니 저렇게 말 하구나
너는라도잖아.,그래도 너는 할머니라도 계시잖아.
혹시 지금 불행 배틀을 제안,혹시 지금 불행 배틀을 제안하는 거니?
이 여자아이돌은 이렇게 까야,이 여자아이돌은 왜 이렇게 까이는거야?
ㅋㅋ 걍 던질까보다,ㅋㅋㅋㅋ 걍 기권표 던질까보다
##하러겠다,기도하러 가야겠다
##었나 봐,또 심었나 봐
친구가면 서로 거지,친구가 어려우면 서로 돕고 그러는 거지
지대로 낙 않겠냐?,지 나름대로 낙이 있지 않겠냐?
낙이냐고 그게,그러니까 무슨 낙이냐고 그게
##을거 같은데 왜 다들 싫어하지,유튜버 하면 재미있을거 같은데 왜 다들 싫어하지
,통일은 찬성해야지
##이랑 이민 노동자 한꺼번에 해결되는데 왜해?,저출산이랑 이민 노동자 문제가 한꺼번에 해결되는데 왜 반대해?
##이 올라가겠지 노동자 문제야,실업률이 올라가겠지 무슨 노동자 문제 해결이야
쟤는들이랑 잘준다,쟤는 진짜 아저씨들이랑 잘 놀아준다
##지,맞아 저것도 능력이지
##겠지 아니뗀에나지는 않잖아,그렇겠지 아니뗀 굴뚝에 연기나지는 않잖아
##은밀어도 다 무찔렀는뎅,화물은 안밀어도 상대편 다 무찔렀는뎅
아줌마 아니고 40대 열혈 청춘하시더라 엄청하셔,아줌마 아니고 40대 열혈 청춘이라고 말씀하시더라 엄청 유쾌하셔
노래방 잘부르든 못부르는 그냥러,노래방은 잘부르든 못부르는 그냥 즐기러 가는거지
여자들은 절대 안 뽑는다. [UNK] 이.,여자들은 절대 [UNK] 안 뽑는다. 정권교체는 [UNK]이 답이다.
##으면 병은 분리수거 해야지. 치우는 사람 따로있어?,음료수 다 마셨으면 병은 분리수거 해야지. 치우는 사람 따로있어?
그건안되지 일일딸이 좋다,그건안되지 일일 일딸이 건강에 좋다
돼 안주면쳐,안 돼 안 들어주면 난리쳐
##에다고 하지 않았냐?,공약에 비정규직 없앤다고 하지 않았냐?
##을구나.,뭐든 최고점을 찍는구나.
유치원해도 그 알겠다,유치원만 졸업해도 그 단어는 알겠다
"아프간 난민 잘 것 같아, 백 명이나 된다는데.","아프간 난민 잘 데려온 것 같아, 아이들도 백 명이나 된다는데."
웃음소리만큼 듣기 건 없어,아이들 웃음소리만큼 듣기 좋은 건 없어
나빠 걸. 좋은 말도 못하겠네,기분 나빠지는 걸. 좋은 말도 함부로 못하겠네
너 지금까지 내가 계속 밥준 거,너 지금까지 내가 계속 밥 사준 거 몰라?
아 돈 거 알잖아,아 나 돈 별로 없는 거 알잖아
이 마크 적,이 마크 본 적 있어?
##쳤어?,왜 뭐 사고쳤어?
한 흉기에 찔린채 초등교실에 난했,한 남성이 흉기에 찔린채 초등교실에 난입했데
인근야산에는 한 질려 죽은 채로됐,인근야산에는 한 남성이 질려 죽은 채로 발견됐데
야 식당에서 밥 먹는 게 창피,야 식당에서 밥 먹는 게 뭐가 창피해?
나 원래 싫어하는 친척이라서 그냥 그런 거 같은데 좀 …거지,나 원래 싫어하는 친척이라서 그냥 그런 거 같은데 좀 당황… 어떻게 본거지
##들 썸 거 다서 그런가?,커플들 썸타는 거 다 끝나서 그런가?
맞아 말던 게 그거,맞아 내가 말하려던 게 그거였어
제발 계신 너네 부모님,제발 집에 계신 너네 부모님 좀 생각해
뭘 바라는지 모르겠음 사투리움,뭘 바라는지 모르겠음 사투리가 귀여움?
딱봐도 야한 ; ;,딱봐도 너무 야한 장면인데;;
##긴 하지 ㅋㅋ,하긴 그렇긴 하지 ㅋㅋ
##호 발사보니까 가슴이하더라,누리호 발사장면보니까 가슴이 뭉클하더라
노인네들 그만줘야 해,노인네들 백신을 그만 놓아줘야 해.
[UNK] 이 병원 왜 간 거임? 교통 남,[UNK]이 병원 왜 간 거임? 교통 사고 남?
이게 어딜 사업 성공한 사장 얼굴이,이게 어딜 봐서 사업 성공한 사장의 얼굴이냐
,ㅋㅋ진짜 웃긴다
요즘 휴대폰 구매를 온라인으로도 하고 있어서 대리점 매장 확,요즘 휴대폰 구매를 온라인으로도 하고 있어서 대리점 매장 확 줄었다네
누구신데 아는척,누구신데 아는척 하십니까?
누군지 니가,누군지 말하면 니가 아나?
##야지 ~ 나눠먹는걸 사오면 어떻게!,두개를 사와야지~나눠먹는걸 사오면 어떻게!
,아씨 서버 막힜네
##중에가 날아가노일이고,게임중에 서버가 날아가노 먼일이고
나게하다하다일이다 도중에 날아가노,나게임하다하다 첨있는일이다 도중에 날아가노
,재미없거든
이에이 있냐?,이 거리두기에 원칙이 있냐?
실현하자 기계 여성 비율 높이는 세상이 됐네,성평등 실현하자니까 기계적으로 여성 비율 높이는 세상이 됐네
부서별로 높이지 말고 여경 100 % 인 부서,부서별로 높이지 말고 여경 100%인 부서를 신설해야지
,왜 싫은데?
넌줫으면 거 다한 듯,넌 이만큼 기다려줫으면 할 거 다한 듯
이때 [UNK] 끼 까던 진짜,이때 [UNK] 끼없다고 까던 사람들 진짜 나쁘다
##듀 하고까지 했던 애가 뭐가 끼가 없다는지,프듀 1등 하고 데뷔까지 했던 애가 뭐가 끼가 없다는지
진짜 부끄러운데 임진왜란 일어났지?,나 진짜 부끄러운데 임진왜란이 언제 일어났지?
조선족한 기사?,조선족 사칭한 살인사건 기사 봄?
[UNK]다 갈.,나 [UNK] 들렀다 갈게.
,일본기업이라서?
아 나한테 10방물,아 나 어제 모기한테 10방물렸어
그 노력이면 여자를 수 있을텐데,그 노력이면 진짜 여자를 만날 수 있을텐데
이런게 진짜 걸시지,이런게 진짜 걸크러시지
길거리 전광판에 [UNK] 박제?,길거리 전광판에 [UNK] 박제된 거 봤냐?
맞아 지금은 낙태용 배우라고 바뀌,맞아 지금은 낙태종용 배우라고 바뀌어있어
부모님이 반려동물도 못 키우게 하시는 식물이라도볼까?,집에서 부모님이 반려동물도 못 키우게 하시는데 식물이라도 키워볼까?
말을 왜 하냐.. 식물인간이.. 너 우리 삼촌이 식물신거 알고 지금 그러는거야?,말을 왜 그렇게 하냐.. 식물인간이라니.. 너 우리 삼촌이 식물인간이신거 알고 지금 그러는거야?
남자 진짜 크,그 남자 눈 진짜 크더라
진짜 좀스럽,진짜 좀 부담스럽긴 해
내가 최근에도 하고도 하거든.,내가 최근에 피부 관리도 하고 화장도 하거든.
남자라도하고 하면 오히려 좋지.,남자라도 화장하고 자기 관리를 하면 오히려 좋지.
대구에 무슬림에들이 일사분란하게 모여 진행하고 대치한다는데?,대구에 무슬림 사원 건립에 무슬림들이 일사분란하게 모여 진행하고 대치한다는데?
그냥탓인 줄 내 대고 노래까지 부름,그냥 기분탓인 줄 알았는데 내 귀에 대고 노래까지 부름
아 하기,아 너무 하기 싫다
##잡이임?,너 왼손잡이임?
,응 어릴때부터
,그럴수 있겠다
##할 저렇게 레깅스만 입어?,운동할 때 왜 저렇게 레깅스만 입어?
,본인 마음이겠지
,부럽다ㅠㅠ
,걱정해줘서 고마워
전세계적으로 한국 여자들이랑하려고 줄 남자들 많다,전세계적으로 한국 여자들이랑 결혼하려고 줄선 백인 남자들 많다
너 쓰레기에서 밤꽃냄새가 나,너 왜 쓰레기 통에서 밤꽃냄새가 나?
아..리를 잘 못했네,아 미안.. 어제 뒤처리를 잘 못했네
밤 마다,맞어 너무 밤 마다 시끄러워
그것 뿐만 아니라 진짜도치기는 기본,그것 뿐만 아니라 진짜 식당에서도 새치기는 기본임
,말 가려서 해
조선족이냐?,조선족이 우리 민족이냐?
한국 남자들은 유흥업소대,한국 남자들은 유흥업소를 많이 찾는대
유흥업소 여자들을 거야,그러면서 유흥업소 여자들을 비난하는 거야?
아동이를 선택하는 신박한가 다 있네,해외 아동이 후원자를 선택하는 신박한 기부가 다 있네
부모가 그걸,부모가 그걸 허락했다고?
글만 보면는 게에게일듯,글만 보면 헤어지는 게 서로에게 도움일듯
##리 일단 걸고,쏘리 일단 걸고 봤음
##이 지는 나한테 막 짜증내면서 내가 지한테 짜증 뭐라 개빡치네.,여친이 지는 나한테 막 짜증내면서 내가 지한테 짜증내면 뭐라 해서 개빡치네.
##게,담임선생 바뀌게
돈 많으니까 능력있는 줄 아나본데 사회통념상 능력 거긴,돈 많으니까 능력있는 줄 아나본데 지금 사회통념상 능력 있는 거긴 하지
머라구? 절야,머라구? 너랑 절교야
학위가 게 대학원 왜 왔지?,학위가 필요한 게 아니면 대학원에 왜 왔지?
난 몸 남자보고 싶당,난 몸 좋은 남자 만나보고 싶당
이런만 신고 들어오네 여자 바뀌면 칠 거면서,이런 글만 신고 들어오네 남자 여자 바뀌면 난리 칠 거면서
저 출연자들 나름 좀서 먹고은 할걸?,저 출연자들 나름 이름 좀 알려져서 먹고 살만은 할걸?
##대가 엄청 좋아하더라 몸매좋고 얼굴생기고해서,우리나이대가 엄청 좋아하더라 몸매좋고 얼굴잘생기고해서
[UNK] 그생겼더라 얼굴이 sm > 상이더라,[UNK] 그 사람 잘생겼더라 얼굴이 <sm>상이더라
따로 남자 있어서 그건 소문일듯 사실,[UNK]따로 남자친구 있어서 그건 소문일듯 사실 아니야
아니정지가 있는데 왜질?,아니 일시정지가 있는데 왜 멈추질 않음?
꼬라박 그냥,꼬라박았는데 그냥?
##때도 같이 갈거지?,다음 출장때도 나랑 같이 갈거지?
남편이 요즘 자꾸이 잦진다고을 내요.,남편이 요즘 자꾸 출장이 잦아진다고 짜증을 내요.
##서셔서 그래,나이 드셔서 힘드셔서 그래
,고인모독 그만해라
##했나보구나,많이 피곤했나보구나.
##함?,너 [UNK] 좋아함?
아티스트가 맛이,아티스트가 그런 맛이 있어야지
우리님 할줄아는게 너무 없다,우리 과장님 할줄아는게 너무 없다..
##해서 몸을 수 있을까?,운동해서 저런 몸을 만들 수 있을까?
같이자면 5년은 걸릴거다,너 같이 초보자면 5년은 걸릴거다.
"아예 기초과 근력이 없으니, 그거 다지 걸려","아예 기초 체력과 근력이 없으니, 그거 다지는데 한참 걸려"
"열심히 하되,제나 약을 하면 조금 수 있지 않을까?","운동 열심히 하되, 보조제나 약을 하면 조금 줄일 수 있지 않을까?"
여자를 낳는 기계 거 아냐?,너무 여자를 애 낳는 기계 취급하는 거 아냐?
코로나 임상실험 지원하면 뭐 준다는 줄?,국산 코로나백신 임상실험 지원하면 뭐 준다는 줄 알아?
몰라? 돈려나,몰라? 돈 좀 주려나?
##원짜리 수목원 준ㅋㅋㅋ,5천원짜리 수목원 입장권 준대ㅋㅋㅋ
응에 두 마리,응 우리집에 두 마리 키워.
##하세요 천국의 비밀을 다시알려 드릴,안녕하세요 천국의 비밀을 다시알려 드릴께여
감사합니다 이미 천국을,감사합니다 이미 천국의 비밀을 알아요
네 ~ 네 아무렴요 아미타불가세요,네~네 아무렴요 나는 아미타불입니다 안녕히가세요
아. 좀 벗어줘,아 추워. 옷 좀 벗어줘.
넌줄,넌 더운줄 알았지.
앞 차가캐벅,앞 차가 왜캐 버벅?
ㅋㅋ코로나 갈 곳이 그런가 봐,ㅋㅋ코로나때문에 갈 곳이 없어서 그런가 봐.
성관계 안 하면이 감퇴.,성관계 오랫동안 안 하면 기억력이 감퇴한대.
요즘엔 다 같이 하는 분위기고 할 거,요즘엔 그래도 다 같이 하는 분위기고 난 할 거 같아
한에서 침가 울 뻔,한의원에서 침 맞다가 울 뻔했다
##는 나이 좀만하고 가르치려는 사람들이 많아,요새는 나이 좀만 많아도 잔소리하고 가르치려는 사람들이 많아
너한테 좀줬나 보네,너한테 누가 관심 좀 가져줬나 보네
##했으니까 너를는거지!,니가 잘못했으니까 너를 혼내는거지!
"##대는거지, 대체 가능한 한국도 많잖아","걍 핑계대는거지, 대체 가능한 한국 제품도 많잖아"
##하고난 후로 부터 더이상 안뻐보인다..,와이프가 임신하고난 후로 부터 더이상 안예뻐보인다..
여탕으로 연결 여성용 엘리베이터라고 써,여탕으로 연결되어 있는 여성용 엘리베이터라고 써 있잖아
##방이 뭐야 진짜 다 벗어,벗방이 뭐야 진짜 다 벗어?
돈을거야?,헐 그렇게 돈을 버는거야?
벗방 아니라?,근데 벗방 불법 아니라던데?
불법이 아니어도... 윤리 거지,불법이 아니어도... 윤리적으로 안 되는 거지
##같은데 주위에는 들어없어,못할거같은데 내 주위에는 들어본적없어
담임이 짓,담임이 무슨 짓 했어?
걔 항상 자기 이익을 위해서라면 법 따위는 가볍게 무시,걔는 항상 자기 이익을 위해서라면 법 따위는 가볍게 무시하더라.
##는 비행기가보다 더네,요새는 비행기가 기차보다 더 싸네
쓰레기를 그냥 막 어떻게!!,쓰레기를 그냥 막 버리시면 어떻게요!!
분리수거가 당신이던가,분리수거가 그렇게 좋으면 당신이 하시던가
햇빛 못 봐서 D 챙겨!,난 햇빛 못 봐서 비타민 D 챙겨먹어!
마네 얼굴이라고 칭찬 거 아냐?,마네킹 얼굴이라고 하면 칭찬인 거 아냐?
,왜그러는데?
아 팀장 이따 먹고 보재,아 팀장이 이따 점심 먹고 좀 보재
너 혼자만비실임,너 혼자만 탕비실 호출임?
머리 적도 없는 그딴 말 듣기 싫어.,머리 아파본 적도 없는 사람한테 그딴 말 듣기 싫어.
##대겠냐고 ㅋㅋㅋ,왜 교육대겠냐고 ㅋㅋㅋ
그냥 한 귀면서 아무 것도 모르는데요 ~ 말해,그냥 한 귀로 듣고 흘리면서 아무 것도 모르는데요~ 말해
한 받을,한 100억 받을 거 같은데
네가 일해봤어? 진짜..까,네가 일해봤어? 진짜 힘들어.. 그만둘까
아 좀 부리고 가자고,아 주정 좀 그만 부리고 집에 가자고
울엄마는 ㅣ맞고 3뒤2맞은듯,울엄마는 ㅣ차맞고 3달뒤2차맞은듯
초중딩때 찐따 여자애 있는데보니 외국도 많이 다니고 직장도곳에서 일하더라,초중딩때 찐따였던 여자애 있는데 최근보니 외국도 많이 다니고 직장도 괜찮은곳에서 일하더라
이번에뽑아서 친구들태워주고 데려다 친구한명이 문 ㅈㄴ쌔게음,이번에 신차뽑아서 친구들태워주고 데려다줬는데 친구한명이 문 ㅈㄴ쌔게닫음
그니까 한대칠뻔 싸우기싫어서 그냥다음부터는 살살닫으라고어,그니까 한대칠뻔했다가 싸우기싫어서 그냥다음부터는 살살닫으라고 하고 보냈어
[UNK] 이,[UNK]이 여자친구 봤냐?
어 완전 아니네 얼굴도데 몸매도던데,어 완전 장난 아니네 얼굴도 예쁜데 몸매도 좋던데
##비실 여직원들이 맡아줬음 좋겠네요,탕비실 청소는 여직원들이 맡아줬음 좋겠네요
주문 사람 조선족?,방금 주문 받은 사람 조선족 맞지?
##러 왔으면 얌전히 갈 것이지,버스 타러 왔으면 얌전히 타고 갈 것이지
이거 닮은 대통령 찾기 테스트 한 번,이거 닮은 대통령 찾기 테스트인데 한 번 해봐
친구는 1등급 친일파,저 친구 할아버지는 1등급 친일파래
광복절에 왜 태극기가 아니고 한반도 거는 거냐 [UNK],광복절에 왜 태극기가 아니고 한반도기를 거는 거냐 [UNK]는?
남북 합쳐서 광복한 거니까 거지,남북 합쳐서 같이 광복한 거니까 그런 거지
동네개네,그 와중에 동네개 귀엽네
잘 사람 좋아하는 것 도 죄냐? 잘못치니까 잘사람들 좋아하는거지 ㅋㅋ,잘 치는 사람 좋아하는 것 도 죄냐? 내가 잘못치니까 잘치는사람들 좋아하는거지 ㅋㅋ
음주에 무면허에 경찰 폭행 민주당 것도 해야 찾지,음주에 무면허에 경찰 폭행인데 민주당 찾는 것도 적당히 해야 찾지
##은 기본이지,1인 1닭은 기본이지
맞어 특히 가스라이팅 페미니즘에 그냥 남발,맞어 특히 가스라이팅이랑 페미니즘에 대해서 그냥 남발하더라
페미는 진짜 심함 뭐만 하면 페미냐고 물어보던데. 그리고 너 페미해? 웃김 페미는하는게 아니라 사상이고인데,페미는 진짜 심함 뭐만 하면 페미냐고 물어보던데.. 그리고 너 페미해?이거 웃김 페미는하는게 아니라 사상이고 가치관인데
배달 늦으면 또 뭐라고 난리 떨어댈 거면서 차선은 fm대로으면 하는 모순적이지?,배달 늦으면 또 뭐라고 난리 떨어댈 거면서 차선은 fm대로 지켰으면 하는 건 모순적이지 않아?
##님아빠인데 너무 불쌍함,우리 부장님 기러기아빠인데 너무 불쌍함
다함께질!,다함께 행복한 덕질합시다!
##서야 …,나 궁서체야…
"어, 맞아 봤어? 진짜 마음지 않아 아기들 그러는 거 보면 나더라","어, 맞아 봤어? 진짜 마음 아프지 않아? 아기들 그러는 거 보면 눈물 나더라"
아다,아 이사 해야하는데 귀찮다
오빠는 거의 안고 해서 거의 많이 내지,오빠는 돈을 거의 안 내려고 해서 거의 내가 많이 내지
##돌아,진짜 야마돌아
눈이 크니까 눈에 벌레,눈이 크니까 눈에 자꾸 벌레가 들어가
##년인데 저거 다 안다.,나 03년생인데 저거 다 안다.
근데 궁금한게디자이너들은 자기 머리로는 연습 안하나,근데 궁금한게 헤어디자이너들은 자기 머리로는 머리 연습 안하나?
대체 [UNK] 지명 하는 대체 되먹은 인간이..,대체 [UNK] 지명 하는 인간들은 대체 어떻게 되먹은 인간이지..
너도 들어와 있으면서 혼자 척하네ㅋ,너도 여기 들어와 있으면서 혼자 다른 척하네 ㅋㅋㅋ
##폭력으로 자살대,학교폭력으로 학생이 자살했대
선생님이 학교폭력 방조,선생님이 학교폭력을 방조했다며?
남자 엄청 잘더라,그 남자 엄청 잘생겼더라
근데 키는 작은인,근데 키는 작은 편인 것 같아
남자 좋겠,남자직원이 왔으면 좋겠어
일하기 여자가 편하지?,같이 일하기에 여자가 편하지 않아?
진짜 수준 봐라 애들한테도 아니지?,진짜 말하는 수준 봐라 다른 애들한테도 그러는거 아니지?
##서 하는거지ㅋㅋㅋ,너라서 하는거지ㅋㅋㅋ
"그러게,적이다","그러게, 좀 이례적이다."
왜?를해야 벌려.,왜? 선물거래를해야 돈이 벌려.
##에는 시골거지?,이번 추석에는 시골 갈거지?
코로나 할머니가 우리가 가도 별로 좋아하지으셔,코로나 때문에 할머니가 우리가 가도 별로 좋아하지 않으셔.
님아내리셈 ㅋㅋ쩍 텐트야ㅋㅋ요즘 어플 예약인데,님아 베플내리셈 ㅋㅋ 언제쩍 텐트야ㅋㅋ요즘 어플 예약인데
어제 술먹고 남자서 뛰어내렸?,어제 술먹고 남자 한명 한강에서 뛰어내렸다는데?
술김에 전남친한테 ㅇㅇ아 라고 보냈어응 이라고 왔어 여기서 뭐해야되지???? 한번 하자 해야되나? 그냥서는데 할 말이 생각 안나 어떡해,술김에 전남친한테 ㅇㅇ아 라고 보냈어응 이라고 왔어 여기서 뭐해야되지????전화 한번 하자 해야되나? 그냥 그리워서 보냈는데 할 말이 생각 안나 어떡해
나도알지. 나도아는데어서 제정신이아니였어 정말 아진짜 어떻게 해야할지모르겠따,나도알지..나도아는데 술먹어서 제정신이아니였어 정말 ㅠㅠ 아진짜 어떻게 해야할지모르겠따
,우리 헤어지자
요즘 지방에 있는들이 왜생 없다고 찡찡대,요즘 지방에 있는 대학교들이 왜 신입생 없다고 찡찡대?
는이랑파이브도 안 하고 나가네,[UNK]는 감독이랑 하이파이브도 안 하고 나가네
,싫은데?
그래서 어쨌든 나는 오빠랑면서는 나도하게 하려고 했어,그래서 어쨌든 나는 오빠랑 사귀면서는 나도 동등하게 하려고 노력은 했어
머랭쿠 같은건 어때?게 만들,머랭쿠키 같은건 어때? 귀엽게 만들던데
근데 몸 배달하는 건 필수긴 함,근데 몸 관리 할려면 배달 조절하는 건 필수긴 함
안그래도 남자혐오 늬가던데,안그래도 남자혐오하는 늬앙스가 많다던데
없는 수준이,가망 없는 수준이던데?
줄을 건가?,자제할 줄을 모르는 건가?
##도 알아서하겠지,걔네도 사람인데 알아서 자제하겠지
제비 통해 사원님의 자리를 결정하겠습니다!,이번에는 제비뽑기를 통해 사원님의 자리를 결정하겠습니다!
다른 사람들은 먹을 수 있는건데면 버리게,다른 사람들은 먹을 수 있는건데 남기면 버리게 되잖아.
##까 서핑이나 하자고,아니 파도 좋으니까 서핑이나 하자고
옛말에 일본녀 남자는기 힘들다던데,옛말에 일본녀 만난 남자는 돌아오기 힘들다던데
[UNK] [UNK] 그리스로 보네,[UNK][UNK] 선수들 그리스로 가는가 보네
딸 [UNK]을하며. 건배 /,우리 딸 [UNK]생일을 축하하며.건배/
